rank,brandName,isPb,goodsName,salePrice,originalPrice,flagList,totalComment,numOfReviews,pctOf5,pctOf4,pctOf3,pctOf2,pctOf1,pakingGood,pakingMiddle,pakingBad,expLong,expMiddle,expShort,tasteGood,tasteMiddle,tasteBad
1,프로티원,0,프로티원 단백질쉐이크 파우치형 40g 5종 산리오,"3,900","3,900","['1+1', '오늘드림']",최고,"29,223",87,9,3,1,1,72,28,0,72,28,0,66,34,0
2,딜라이트 프로젝트,1,[7월 올영픽/띠부씰 포함] 딜라이트 프로젝트 베이글칩 6종 택1 (산리오 에디션),"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,138,88,10,1,1,0,74,26,0,70,30,0,75,25,0
3,딜라이트 프로젝트,1,[7월 올영픽/1+1] 딜라이트 프로젝트 단백질쉐이크 4종 택1 (산리오 에디션),"3,900","3,900","['1+1', '오늘드림']",최고,39,100,0,0,0,0,74,26,0,64,36,0,82,18,0
4,딜라이트 프로젝트,1,[7월 올영픽] 딜라이트 프로젝트 베이글칩&단백질쉐이크 (산리오 에디션),"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,25,92,4,4,0,0,80,20,0,64,36,0,76,24,0
5,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 45g 9종 택1,"3,900","3,900","['1+1', '오늘드림']",최고,"39,368",85,10,4,1,1,70,30,0,63,37,1,68,30,2
6,딜라이트 프로젝트,1,딜라이트 프로젝트 단백질쉐이크 단품/7개입 8종 택1,"3,900","3,900","['1+1', '오늘드림']",최고,"46,231",90,7,2,0,0,73,27,0,68,32,0,74,24,2
7,랩노쉬,0,[7월 파워팩 단독] 랩노쉬 단백쿠키 40g 더블초코 더블 기획 외 4종,"1,700","3,400","['세일', '오늘드림']",최고,"19,562",82,13,4,1,1,83,17,0,62,36,2,72,28,0
8,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 피넛버터 45g,"3,900","3,900","['1+1', '오늘드림']",최고,11,100,0,0,0,0,73,27,0,73,27,0,73,27,0
9,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 쿠키앤크림 45g,"3,900","3,900","['1+1', '오늘드림']",최고,29,93,3,0,3,0,76,24,0,79,21,0,72,24,4
10,플라이밀,0,"[단독기획/1+1] 플라이밀 단백질쉐이크 쿠키앤크림, 피넛버터 45g 2종","3,900","3,900","['1+1', '오늘드림']",최고,86,94,4,1,1,0,80,20,0,78,22,0,87,11,2
11,딜라이트 프로젝트,1,딜라이트 프로젝트 베이글칩 7종 택1,"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"101,016",88,8,4,0,0,74,26,1,68,32,0,79,21,1
12,딜라이트 프로젝트,1,[7월 올영픽] 딜라이트 프로젝트 명인 찹쌀오징어채부각 50g 2종 택1 (오리지널/청양마요),"3,800","4,900","['세일', '쿠폰', '오늘드림']",최고,"9,438",88,8,3,1,0,76,24,1,68,32,0,77,21,2
13,빼바,0,[7월올영픽/1+1] 빼바 소프트 크런치 프로틴바 2종 산리오캐릭터즈 태닝 헬로키티,"3,200","3,200","['1+1', '증정', '오늘드림']",최고,238,81,13,4,2,1,69,31,0,73,27,0,69,27,4
14,라이블링,0,[7/1 하루특가] 라이블링 클렌즈 15ml*30포입 유리컵 기획 (5종 택 1),"24,900","34,900","['쿠폰', '오특']",최고,204,88,9,2,0,0,50,50,0,50,50,0,50,50,0
15,프로티원,0,프로티원 단백질쉐이크 파우치형 40g 4종,"3,900","3,900","['1+1', '오늘드림']",최고,"43,433",86,9,3,1,1,72,28,0,67,33,0,68,30,2
16,티젠,0,[7월 올영픽] 티젠 콤부차 레몬/매실/피치/스트로베리키위 10T 기획 (+티코스터) (산리오) (2507),"4,500","7,500","['세일', '쿠폰', '오늘드림']",최고,"63,313",87,9,3,0,0,47,53,0,50,50,0,57,43,0
